SupplierID,SupplierName,SupplierAddress,SupplierEmail,ProductID,CategoryID,OrderID
51,ABC Electronics,123 Main St,abc@example.com,51,1,51
52,XYZ Components,456 Oak Ave,xyz@example.com,52,2,52
53,Global Gadgets,789 Elm Rd,global@example.com,53,1,53
54,Superior Supplies,321 Pine Lane,superior@example.com,54,2,54
55,Quality Parts,654 Cedar Dr,quality@example.com,55,1,55
56,Reliable Tech,987 Birch Blvd,reliable@example.com,56,2,56
57,Swift Devices,210 Maple Court,swift@example.com,57,1,57
58,Innovate Inc.,543 Willow Way,innovate@example.com,58,2,58
59,Prime Electronics,876 Spruce Circle,prime@example.com,59,1,59
60,Top Tech Ltd.,109 Fir Road,top@example.com,60,2,60
61,ABC Electronics,123 Main St,abc@example.com,61,1,61
62,XYZ Components,456 Oak Ave,xyz@example.com,62,2,62
63,Global Gadgets,789 Elm Rd,global@example.com,63,1,63
64,Superior Supplies,321 Pine Lane,superior@example.com,64,2,64
65,Quality Parts,654 Cedar Dr,quality@example.com,65,1,65
66,Reliable Tech,987 Birch Blvd,reliable@example.com,66,2,66
67,Swift Devices,210 Maple Court,swift@example.com,67,1,67
68,Innovate Inc.,543 Willow Way,innovate@example.com,68,2,68
69,Prime Electronics,876 Spruce Circle,prime@example.com,69,1,69
70,Top Tech Ltd.,109 Fir Road,top@example.com,70,2,70
71,ABC Electronics,123 Main St,abc@example.com,71,1,71
72,XYZ Components,456 Oak Ave,xyz@example.com,72,2,72
73,Global Gadgets,789 Elm Rd,global@example.com,73,1,73
74,Superior Supplies,321 Pine Lane,superior@example.com,74,2,74
75,Quality Parts,654 Cedar Dr,quality@example.com,75,1,75
76,Reliable Tech,987 Birch Blvd,reliable@example.com,76,2,76
77,Swift Devices,210 Maple Court,swift@example.com,77,1,77
78,Innovate Inc.,543 Willow Way,innovate@example.com,78,2,78
79,Prime Electronics,876 Spruce Circle,prime@example.com,79,1,79
80,Top Tech Ltd.,109 Fir Road,top@example.com,80,2,80
81,ABC Electronics,123 Main St,abc@example.com,81,1,81
82,XYZ Components,456 Oak Ave,xyz@example.com,82,2,82
83,Global Gadgets,789 Elm Rd,global@example.com,83,1,83
84,Superior Supplies,321 Pine Lane,superior@example.com,84,2,84
85,Quality Parts,654 Cedar Dr,quality@example.com,85,1,85
86,Reliable Tech,987 Birch Blvd,reliable@example.com,86,2,86
87,Swift Devices,210 Maple Court,swift@example.com,87,1,87
88,Innovate Inc.,543 Willow Way,innovate@example.com,88,2,88
89,Prime Electronics,876 Spruce Circle,prime@example.com,89,1,89
90,Top Tech Ltd.,109 Fir Road,top@example.com,90,2,90
91,ABC Electronics,123 Main St,abc@example.com,91,1,91
92,XYZ Components,456 Oak Ave,xyz@example.com,92,2,92
93,Global Gadgets,789 Elm Rd,global@example.com,93,1,93
94,Superior Supplies,321 Pine Lane,superior@example.com,94,2,94
95,Quality Parts,654 Cedar Dr,quality@example.com,95,1,95
96,Reliable Tech,987 Birch Blvd,reliable@example.com,96,2,96
97,Swift Devices,210 Maple Court,swift@example.com,97,1,97
98,Innovate Inc.,543 Willow Way,innovate@example.com,98,2,98
99,Prime Electronics,876 Spruce Circle,prime@example.com,99,1,99
100,Top Tech Ltd.,109 Fir Road,top@example.com,100,2,100
