ProductID,ProductName,CategoryID,Price,StockQuantity,Description,SupplierID
39,Widget MM,Books,19.99,200,Widget enthusiast's guide,7
40,Widget NN,Electronics,69.99,80,Energy-saving widget,1
41,Widget OO,Electronics,89.99,100,Widget with wireless charging,4
42,Widget PP,Home & Garden,49.99,110,Widget for outdoor use,2
43,Widget QQ,Toys,27.99,130,Interactive widget for kids,6
44,Widget RR,Electronics,99.99,70,Widget with Bluetooth connectivity,1
45,Widget SS,Clothing,36.99,90,Widget-themed hat,5
46,Widget TT,Books,15.99,150,Widget design manual,7
47,Widget UU,Electronics,74.99,100,Advanced widget for tech enthusiasts,3
48,Widget VV,Electronics,84.99,120,Widget with touchscreen display,4
49,Widget WW,Electronics,54.99,80,Compact widget for home use,1
50,Widget XX,Home & Garden,39.99,90,Widget for gardening enthusiasts,2
51,Widget YY,Electronics,129.99,100,Widget with 3D capabilities,3
52,Widget ZZ,Electronics,94.99,110,High-performance widget,4
53,Widget AAA,Clothing,29.99,70,Widget-themed hoodie,5
54,Widget BBB,Books,18.99,150,Widget owner's manual,7
55,Widget CCC,Electronics,59.99,80,Widget with built-in camera,1
56,Widget DDD,Electronics,79.99,100,Smart widget for home automation,4
57,Widget EEE,Home & Garden,49.99,110,Widget for gardening projects,2
58,Widget FFF,Toys,23.99,130,Widget for creative play,6
59,Widget GGG,Electronics,69.99,90,Energy-efficient widget,1
60,Widget HHH,Electronics,104.99,100,Widget with AI assistant,4
61,Widget III,Clothing,31.99,120,Widget-themed t-shirt,5
62,Widget JJJ,Books,17.99,80,Widget history book,7
63,Widget KKK,Electronics,49.99,70,Compact widget for travel,1
64,Widget LLL,Electronics,64.99,90,Widget with wireless capabilities,4
65,Widget MMM,Electronics,89.99,100,Premium widget for enthusiasts,3
66,Widget NNN,Home & Garden,39.99,110,Versatile widget for various tasks,2
67,Widget OOO,Toys,26.99,130,Educational widget for kids,6
68,Widget PPP,Electronics,74.99,150,Widget with advanced features,4
69,Widget QQQ,Electronics,54.99,80,Basic widget for various tasks,1
70,Widget RRR,Clothing,33.99,70,Stylish widget-themed hoodie,5
71,Widget SSS,Books,16.99,100,Widget user guide,7
72,Widget TTT,Electronics,99.99,90,Widget with voice control,4
73,Widget UUU,Electronics,84.99,100,Compact widget for small spaces,2
74,Widget VVV,Electronics,64.99,120,Widget with cutting-edge technology,3
75,Widget WWW,Home & Garden,44.99,130,Widget for home improvement,1
76,Widget XXX,Toys,28.99,70,Fun widget for playtime,6
77,Widget YYY,Electronics,59.99,100,Widget with wireless charging,4
78,Widget ZZZ,Electronics,69.99,110,Widget for outdoor use,2
79,Widget AAAA,Electronics,99.99,150,High-end widget for professionals,4
80,Widget BBBB,Clothing,37.99,80,Widget-themed socks,5
81,Widget CCCC,Books,15.99,100,Widget enthusiast's guide,7
82,Widget DDDD,Electronics,79.99,90,Energy-saving widget,1
83,Widget EEEE,Electronics,94.99,120,Widget with app control,4
84,Widget FFFF,Home & Garden,48.99,130,Widget for small spaces,2
85,Widget GGGG,Toys,32.99,70,Widget for travel,1
86,Widget HHHH,Electronics,119.99,100,Widget with 4K display,3
87,Widget IIII,Electronics,69.99,90,Widget for entertainment,4
88,Widget JJJJ,Electronics,59.99,110,Widget for DIY projects,2
89,Widget KKKK,Clothing,34.99,120,Widget-themed hat,5
90,Widget LLLL,Books,18.99,150,Widget design manual,7
91,Widget MMMM,Electronics,74.99,70,Widget with voice recognition,1
92,Widget NNNN,Electronics,89.99,90,Smart widget with AI integration,4
93,Widget OOOO,Home & Garden,39.99,100,Entry-level widget,2
94,Widget PPPP,Toys,21.99,130,Widget with Bluetooth connectivity,6
95,Widget QQQQ,Electronics,44.99,70,Widget for outdoor use,1
96,Widget RRRR,Electronics,129.99,90,Interactive widget for kids,4
97,Widget SSSS,Clothing,38.99,100,High-quality widget for all your needs,5
98,Widget TTTT,Books,19.99,120,Economical widget for everyday use,7
99,Widget UUUU,Electronics,84.99,130,Widget with advanced features,3
100,Widget VVVV,Electronics,64.99,110,Durable widget for outdoor use,1
